Namn,Adress,Status,Nyckelkod
Bilstallet 2,Hammarbybacken 48,L,
Bisvärmen 5,Hammarbybacken 46,L,
Brädgården 9,Aktergatan 11,L,
Brädgården 10,Aktergatan 17,L,
Bränslestationen 1,Hammarby fabriksväg 50,L,
Bukten 1,Lugnets allé 75,L,
Bådan 1,Korphoppsgatan 40,L,
Båtklubben 3,Per Ludvig Lindgrens terrass 2,L,
Båtklubben 4,Henriksdalsallén 24A,L,
Båtklubben 5,Pollargatan 20,L,
Båtklubben 6,Henriksdalsallén 28,L,
Båtklubben 7,Båtklubbsgatan 13,L,
Båtklubben 8,Båtklubbsgatan 1,L,
Båtturen 1,Hammarbyterrassen 7,L,
Båtturen 2,Hammarby kaj 14,L,
Böljan 1,Fartygsgatan 2,L,
Böljan 2,Lugnets allé 86,L,
Böljan 3,Rorgängargatan 13,L,
Böljan 4,Båtbyggargatan 1,L,
Danviksklippan 1,Hästholmsvägen 9,L,
Danviksklippan 2,Hästholmsvägen 15,L,
Danviksklippan 3,Hästholmsvägen 17,L,
Dyningen 1,Sickla kanalgata 20,L,
Farleden 1,Sickla kanalgata 26,L,
Fartygstrafiken 1,Hammarbyterrassen 30,L,
Fartygstrafiken 2,Hammarby allé 91,L,
Farvattnet 1,Sickla kanalgata 71,L,
Fjärden 1,Sickla kanalgata 14,L,
Fladen 1,Sickla kanalgata 10,L,
Forsen 1,Båtbyggargatan 66,L,
Forsen 2,Skeppsmäklargatan 21,L,
Fredriksdal 10,Hammarby allé 1,L,
Fredriksdal 12,Fredriksdalsgatan 1,L,
Friluftsteatern 1,Hästholmsvägen 23,L,
Friluftsteatern 3,Hästholmsvägen 21,L,
Fryshuset 1,Textilgatan 42,L,
Fryshuset 2,Mårtensdalsgatan 2,L,
Fryshuset 3,Mårtensdalsgatan 6,L,
Gattet 1,Lugnets allé 51A,L,
Godsfinkan 1,Heliosgatan 22,L,
Godsfinkan 2,Hammarby allé 56A,L,
Godsfinkan 3,Hammarby allé 72,L,
