Namn,Fastighet,Adress,Energiklass,Energiprestanda (kWh/m²),Primärenergital (kWh/m²),Byggnadsår,Radonmätning,OVK
BRF Bukten 1,Bukten 1,SICKLA KANALGATA 6,C,43,68,,Utförd,Inte utförd
BRF Båtbyggaren,Böljan 4,RORGÄNGARGATAN 9,E,75,107,,Utförd,Utförd
BRF Båtklubben,Båtklubben 5,POLLARGATAN 26,C,59,63,,Utförd,Utförd
BRF Båtturen 1,Båtturen 1,SJÖFARTSGATAN 8,C,79,74,,Utförd,Utförd
BRF Dyningen,Dyningen 1,SICKLA KANALGATA 22,C,65,75,,Utförd,Utförd
BRF Farleden,Farleden 1,SICKLA KANALGATA 28,D,92,104,,Utförd,Utförd
BRF Farvattnet,Farvattnet 1,SICKLA KANALGATA 81,D,92,105,,Utförd,Utförd
BRF Felicia Strand,Klabben 2,AKTERGATAN 29,E,139,149,,Utförd,Utförd
BRF Fendern,Kajutan 1,FENDERGATAN 13,D,84,85,,Utförd,Utförd
BRF Forsen 1,Forsen 1,VÄVAR JOHANS GATA 18,C,82,75,,Utförd,Utförd
BRF Fredriksdals Brygga,Fredriksdal 12,HAMMARBY KAJ 8,D,76,91,,Utförd,Utförd
BRF Fredriksdals Kanal,Hammarby Gård 14,HAMMARBY KAJ 8A,D,77,107,,Utförd,Delvis utförd
BRF Fredriksdalskajen,Fredriksdal 10,HAMMARBY KAJ 2,D,81,97,,Utförd,Utförd
BRF Glödlampsfabriken,Luma 1,LUMAPARKSVÄGEN 9,E,136,156,,Utförd,Utförd
"BRF Grynnan, Sickla Kaj",Grynnan 2,STYRBORDSGATAN 7,E,144,147,,Utförd,Utförd
BRF Hammarby Ekbacke,Tjärnen 1,SICKLA KANALGATA 93,E,138,,,Utförd,Utförd
BRF Hammarby Kaj,Bådan 1,STYRBORDSGATAN 23,E,126,127,,Utförd,Utförd
BRF Hammarby Kanal,Sundet 1,SICKLA KANALGATA 56,C,37,67,,Utförd,Utförd
BRF Hammarby Park,Grynnan 1,STYRBORDSGATAN 15,C,57,65,,Utförd,Delvis utförd
BRF Hammarby Sjö,Fladen 1,SICKLA KANALGATA 12,E,140,143,,Utförd,Utförd
BRF Hamnkranen,Sjöresan 2,LUMAGATAN 9,B,63,55,,Utförd,Delvis utförd
BRF Havet,Havet 1,SICKLA KANALGATA 43,D,82,93,,Utförd,Utförd
BRF Henriksdalshamnen 6,Hammarbyverken 6,REGATTAKAJEN 8,D,127,98,,Inte utförd,Inte utförd
BRF Henriksdalskajen,Skärgårdsbåten 3,FENDERGATAN 8,C,73,71,,Utförd,Utförd
BRF Henriksdalsporten,Båtklubben 4,HENRIKSDALSALLÉN 26B,B,71,56,,Inte utförd,Inte utförd
BRF Holmen,Holmen 2,KORPHOPPSGATAN 23,D,100,115,,Inte utförd,Delvis utförd
BRF Innanhavet 1,Innanhavet 1,RORGÄNGARGATAN 7,E,141,,,Utförd,Utförd
BRF Kajkanten,Kajutan 2,SJÖKORTSGATAN 6,C,76,75,,Utförd,Utförd
BRF Knallen 1,Knallen 1,KÖLNAGATAN 8,D,94,109,,Utförd,Utförd
BRF La Dolce Vita,Sjöresan 3,HAMMARBYTERRASSEN 43,E,128,135,,Inte utförd,Inte utförd
BRF Linjefarten 1,Linjefarten 1,TEXTILGATAN 25,C,67,80,,Utförd,Utförd
BRF Linjefarten 2,Linjefarten 2,SJÖFARTSGATAN 14,C,60,69,,Utförd,Utförd
BRF Lugnet i Sjöstaden,Vågdalen 2,VÄVAR JOHANS GATA 28,C,68,76,,Utförd,Utförd
BRF Lugnvattnet 1,Lugnvattnet 1,VÄVAR JOHANS GATA 15,E,130,,,Utförd,Utförd
BRF Lumaparken,Luma 3,LUMAPARKSVÄGEN 3,B,55,56,,Utförd,Utförd
BRF Mältaren 1,Mältaren 1,TORKHUSGATAN 9,C,51,82,,Inte utförd,Utförd
"BRF Revet, Sickla Kaj",Revet 1,KÖLNAGATAN 28,E,125,129,,Inte utförd,Utförd
BRF Seglatsen 2,Seglatsen 1,SJÖFARTSGATAN 9,C,70,74,,Utförd,Utförd
BRF Sjöpärlan,Klabben 3,AKTERGATAN 26,E,133,,,Utförd,Utförd
BRF Sjöstaden 2,Brädgården 9,LUGNETS ALLÉ 44,B,33,53,,Utförd,Utförd
BRF Sjöstaden 3,Konvojen 1,SJÖFARTSGATAN 19,B,31,55,,Utförd,Utförd
BRF Sjöstadsallén,Sjöfarten 1,HELIOSGATAN 31A,D,90,113,,Utförd,Utförd
BRF Sjöstadsesplanaden 1,Proppen 5,REDARGATAN 8,C,74,73,,Utförd,Utförd
BRF Sjöstadshamnen,Hammarbyverken 5,JAN INGHES TORG 30A,C,77,66,,Utförd,Utförd
BRF Sjöstadskajen,Hammarbyverken 3,POLLARGATAN 19,C,89,71,,Utförd,Utförd
